"ProductType","Product","AgeRange","IncomeRange","EmploymentStatus","ResidentialStatus","LikelihoodScore","total"
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","30k","Retired","Homeowner",0.2,383
"Balance Transfer","Post Office*","(60,70]","30k","Retired","Homeowner",0.4,260
"Balance Transfer","Santander*","(60,70]","30k","Retired","Homeowner",0.2,124
"Balance Transfer","MBNA Low Rate*","(20,30]","40k","Full time","Private Tenant",0.1,568
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","40k","Full time","Private Tenant",0.2,383
"Balance Transfer","Halifax Low Rate*","(20,30]","40k","Full time","Private Tenant",0.2,394
"Balance Transfer","Post Office*","(20,30]","40k","Full time","Private Tenant",0,1007
"Balance Transfer","Santander*","(20,30]","40k","Full time","Private Tenant",0.95,564
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Full time","Private Tenant",0.1,1216
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Private Tenant",0.5,406
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Private Tenant",0.5,409
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Private Tenant",0,2133
"Balance Transfer","Santander*","(30,40]","40k","Full time","Private Tenant",0.95,888
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Full time","Homeowner",0.1,5228
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Homeowner",0.2,3391
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Homeowner",0.2,3467
"Balance Transfer","Post Office*","(40,50]","30k","Full time","Homeowner",0,2084
"Balance Transfer","Santander*","(40,50]","30k","Full time","Homeowner",0.9,486
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Full time","Homeowner",0.1,4594
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Homeowner",0.2,3011
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Homeowner",0.2,3088
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Homeowner",0.4,1846
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.3,388
"Balance Transfer","MBNA Low Rate*","(10,20]","20k","Full time","Living with Parents",0,216
"Balance Transfer","Lloyds Platinum Low Rate*","(10,20]","20k","Full time","Living with Parents",0.95,24
"Balance Transfer","Halifax Low Rate*","(10,20]","20k","Full time","Living with Parents",0.95,24
"Balance Transfer","Post Office*","(10,20]","20k","Full time","Living with Parents",0,120
"Balance Transfer","Santander*","(10,20]","20k","Full time","Living with Parents",0,12
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Full time","Private Tenant",0,4262
"Balance Transfer","Santander*","(20,30]","20k","Full time","Private Tenant",0.95,1544
"Balance Transfer","MBNA Low Rate*","(40,50]","50k","Full time","Homeowner",0.1,2526
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","50k","Full time","Homeowner",0.2,1841
"Balance Transfer","Halifax Low Rate*","(40,50]","50k","Full time","Homeowner",0.2,1877
"Balance Transfer","Post Office*","(40,50]","50k","Full time","Homeowner",0.4,1158
"Balance Transfer","Santander*","(40,50]","50k","Full time","Homeowner",0.3,256
"Balance Transfer","MBNA Low Rate*","(40,50]","20k","Self Employed","Homeowner",0.1,542
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","20k","Self Employed","Homeowner",0.2,307
"Balance Transfer","Halifax Low Rate*","(40,50]","20k","Self Employed","Homeowner",0.2,313
"Balance Transfer","Post Office*","(40,50]","20k","Self Employed","Homeowner",0.4,207
"Balance Transfer","Santander*","(40,50]","20k","Self Employed","Homeowner",0.6,28
"Balance Transfer","MBNA Low Rate*","(20,30]","30k","Full time","Private Tenant",0,4326
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","30k","Full time","Private Tenant",0.95,489
"Balance Transfer","Halifax Low Rate*","(20,30]","30k","Full time","Private Tenant",0.95,497
"Balance Transfer","Post Office*","(20,30]","30k","Full time","Private Tenant",0,3206
"Balance Transfer","Santander*","(20,30]","30k","Full time","Private Tenant",0.95,1864
"Balance Transfer","MBNA Low Rate*","(50,60]","30k","Full time","Homeowner",0,2778
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","30k","Full time","Homeowner",0,1244
"Balance Transfer","Halifax Low Rate*","(50,60]","30k","Full time","Homeowner",0,1268
"Balance Transfer","Post Office*","(50,60]","30k","Full time","Homeowner",0,1313
"Balance Transfer","Santander*","(50,60]","30k","Full time","Homeowner",0,434
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Private Tenant",0.95,530
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Private Tenant",0.95,542
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Homeowner",0.95,418
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Homeowner",0.95,426
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Homeowner",0,1578
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.9,474
"Balance Transfer","MBNA Low Rate*","(20,30]","30k","Self Employed","Private Tenant",0.1,22
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","30k","Self Employed","Private Tenant",0.4,12
"Balance Transfer","Halifax Low Rate*","(20,30]","30k","Self Employed","Private Tenant",0.4,12
"Balance Transfer","Post Office*","(20,30]","30k","Self Employed","Private Tenant",0,94
"Balance Transfer","MBNA Low Rate*","(20,30]","50k","Full time","Living with Parents",0,112
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","50k","Full time","Living with Parents",0.9,12
"Balance Transfer","Halifax Low Rate*","(20,30]","50k","Full time","Living with Parents",0.9,12
"Balance Transfer","Post Office*","(20,30]","50k","Full time","Living with Parents",0,119
"Balance Transfer","Santander*","(20,30]","50k","Full time","Living with Parents",0.95,60
"Balance Transfer","MBNA Low Rate*","(20,30]","40k","Full time","Homeowner",0.1,1050
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","40k","Full time","Homeowner",0.5,175
"Balance Transfer","Halifax Low Rate*","(20,30]","40k","Full time","Homeowner",0.5,179
"Balance Transfer","Post Office*","(20,30]","40k","Full time","Homeowner",0.7,105
"Balance Transfer","Santander*","(20,30]","40k","Full time","Homeowner",0.9,130
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Full time","Homeowner",0,4342
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Homeowner",0,1947
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Homeowner",0,1970
"Balance Transfer","Santander*","(40,50]","30k","Full time","Homeowner",0.95,820
"Balance Transfer","MBNA Low Rate*","(20,30]","30k","Full time","Homeowner",0.1,2052
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","30k","Full time","Homeowner",0.2,1121
"Balance Transfer","Halifax Low Rate*","(20,30]","30k","Full time","Homeowner",0.2,1138
"Balance Transfer","Post Office*","(20,30]","30k","Full time","Homeowner",0.4,661
"Balance Transfer","Santander*","(20,30]","30k","Full time","Homeowner",0.5,106
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Full time","Council Tenant",0,1272
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Council Tenant",0.95,141
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Council Tenant",0.95,145
"Balance Transfer","Post Office*","(40,50]","30k","Full time","Council Tenant",0,772
"Balance Transfer","Santander*","(40,50]","30k","Full time","Council Tenant",0.95,276
"Balance Transfer","MBNA Low Rate*","(60,70]","20k","Full time","Homeowner",0,276
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","20k","Full time","Homeowner",0,199
"Balance Transfer","Halifax Low Rate*","(60,70]","20k","Full time","Homeowner",0,202
"Balance Transfer","Post Office*","(60,70]","20k","Full time","Homeowner",0,150
"Balance Transfer","Santander*","(60,70]","20k","Full time","Homeowner",0,46
"Balance Transfer","MBNA Low Rate*","(30,40]","70k","Full time","Homeowner",0.1,406
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","70k","Full time","Homeowner",0.2,263
"Balance Transfer","Halifax Low Rate*","(30,40]","70k","Full time","Homeowner",0.2,263
"Balance Transfer","Post Office*","(30,40]","70k","Full time","Homeowner",0.5,15
"Balance Transfer","Santander*","(30,40]","70k","Full time","Homeowner",0.2,34
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.2,502
"Balance Transfer","Santander*","(20,30]","30k","Full time","Private Tenant",0,452
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Private Tenant",0.2,888
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Private Tenant",0.2,907
"Balance Transfer","Santander*","(30,40]","40k","Full time","Private Tenant",0.9,228
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Full time","Homeowner",0.1,5052
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Homeowner",0.5,923
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Homeowner",0.5,940
"Balance Transfer","Post Office*","(30,40]","30k","Full time","Homeowner",0.4,1996
"Balance Transfer","Santander*","(30,40]","30k","Full time","Homeowner",0.9,544
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Homeowner",0.5,631
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Homeowner",0.5,655
"Balance Transfer","Post Office*","(30,40]","40k","Full time","Homeowner",0.7,269
"Balance Transfer","Santander*","(30,40]","40k","Full time","Homeowner",0.95,904
"Balance Transfer","MBNA Low Rate*","(30,40]","40k","Full time","Homeowner",0,3726
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","40k","Full time","Homeowner",0.6,556
"Balance Transfer","Halifax Low Rate*","(30,40]","40k","Full time","Homeowner",0.6,566
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Private Tenant",0.4,282
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Private Tenant",0.4,290
"Balance Transfer","Santander*","(30,40]","30k","Full time","Private Tenant",0.8,298
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Full time","Living with Parents",0,5068
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Full time","Living with Parents",0.6,526
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Full time","Living with Parents",0.6,540
"Balance Transfer","Post Office*","(20,30]","20k","Full time","Living with Parents",0,3414
"Balance Transfer","Santander*","(20,30]","20k","Full time","Living with Parents",0.6,230
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","20k","Retired","Homeowner",0,405
"Balance Transfer","MBNA Low Rate*","(60,70]","20k","Retired","Homeowner",0.1,1316
"Balance Transfer","Halifax Low Rate*","(60,70]","20k","Retired","Homeowner",0,408
"Balance Transfer","Post Office*","(60,70]","20k","Retired","Homeowner",0,311
"Balance Transfer","Santander*","(60,70]","20k","Retired","Homeowner",0.9,62
"Balance Transfer","MBNA Low Rate*","(40,50]","20k","Full time","Homeowner",0,2034
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","20k","Full time","Homeowner",0.95,227
"Balance Transfer","Halifax Low Rate*","(40,50]","20k","Full time","Homeowner",0.95,230
"Balance Transfer","Post Office*","(40,50]","20k","Full time","Homeowner",0.5,46
"Balance Transfer","Santander*","(40,50]","20k","Full time","Homeowner",0.9,182
"Balance Transfer","MBNA Low Rate*","(30,40]","50k","Full time","Living with Parents",0.1,108
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","50k","Full time","Living with Parents",0.4,24
"Balance Transfer","Halifax Low Rate*","(30,40]","50k","Full time","Living with Parents",0.4,25
"Balance Transfer","Post Office*","(30,40]","50k","Full time","Living with Parents",0,143
"Balance Transfer","Santander*","(30,40]","50k","Full time","Living with Parents",0.9,16
"Balance Transfer","MBNA Low Rate*","(50,60]","20k","Self Employed","Homeowner",0,370
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","20k","Self Employed","Homeowner",0.2,275
"Balance Transfer","Halifax Low Rate*","(50,60]","20k","Self Employed","Homeowner",0.2,278
"Balance Transfer","Post Office*","(50,60]","20k","Self Employed","Homeowner",0.4,223
"Balance Transfer","Santander*","(50,60]","20k","Self Employed","Homeowner",0.6,60
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Part time","Council Tenant",0,188
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Part time","Council Tenant",0,88
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Part time","Council Tenant",0,88
"Balance Transfer","Post Office*","(20,30]","20k","Part time","Council Tenant",0,97
"Balance Transfer","Santander*","(20,30]","20k","Part time","Council Tenant",0,38
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Self Employed","Homeowner",0,470
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Self Employed","Homeowner",0,212
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Self Employed","Homeowner",0,218
"Balance Transfer","Post Office*","(40,50]","30k","Self Employed","Homeowner",0,246
"Balance Transfer","Santander*","(40,50]","30k","Self Employed","Homeowner",0,98
"Balance Transfer","MBNA Low Rate*","(30,40]","30k","Full time","Private Tenant",0.1,1422
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Private Tenant",0.2,1253
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Private Tenant",0.2,1273
"Balance Transfer","Santander*","(30,40]","30k","Full time","Private Tenant",0.6,224
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Full time","Homeowner",0.7,198
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Full time","Homeowner",0.7,203
"Balance Transfer","Post Office*","(40,50]","30k","Full time","Homeowner",0.4,2089
"Balance Transfer","Santander*","(40,50]","30k","Full time","Homeowner",0.3,696
"Balance Transfer","MBNA Low Rate*","(40,50]","20k","Full time","Private Tenant",0,1398
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","20k","Full time","Private Tenant",0,395
"Balance Transfer","Halifax Low Rate*","(40,50]","20k","Full time","Private Tenant",0,400
"Balance Transfer","Post Office*","(40,50]","20k","Full time","Private Tenant",0,886
"Balance Transfer","Santander*","(40,50]","20k","Full time","Private Tenant",0,212
"Balance Transfer","MBNA Low Rate*","(40,50]","10k","Part time","Private Tenant",0,208
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","10k","Part time","Private Tenant",0.95,21
"Balance Transfer","Halifax Low Rate*","(40,50]","10k","Part time","Private Tenant",0.95,21
"Balance Transfer","Post Office*","(40,50]","10k","Part time","Private Tenant",0,133
"Balance Transfer","Santander*","(40,50]","10k","Part time","Private Tenant",0.95,50
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","40k","Full time","Private Tenant",0.95,153
"Balance Transfer","Halifax Low Rate*","(40,50]","40k","Full time","Private Tenant",0.95,151
"Balance Transfer","Santander*","(40,50]","30k","Full time","Homeowner",0,730
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Private Tenant",0,1247
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Private Tenant",0,1253
"Balance Transfer","Santander*","(30,40]","30k","Full time","Private Tenant",0.95,1580
"Balance Transfer","MBNA Low Rate*","(40,50]","20k","Part time","Homeowner",0,942
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","20k","Part time","Homeowner",0.5,130
"Balance Transfer","Halifax Low Rate*","(40,50]","20k","Part time","Homeowner",0.5,138
"Balance Transfer","Post Office*","(40,50]","20k","Part time","Homeowner",0,594
"Balance Transfer","Santander*","(40,50]","20k","Part time","Homeowner",0.95,236
"Balance Transfer","MBNA Low Rate*","(30,40]","10k","Part time","Council Tenant",0.1,54
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","10k","Part time","Council Tenant",0.2,45
"Balance Transfer","Halifax Low Rate*","(30,40]","10k","Part time","Council Tenant",0.2,45
"Balance Transfer","Post Office*","(30,40]","10k","Part time","Council Tenant",0,168
"Balance Transfer","MBNA Low Rate*","(20,30]","20k","Homemaker","Homeowner",0,40
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","20k","Homemaker","Homeowner",0.9,21
"Balance Transfer","Halifax Low Rate*","(20,30]","20k","Homemaker","Homeowner",0.9,21
"Balance Transfer","Post Office*","(20,30]","20k","Homemaker","Homeowner",0,18
"Balance Transfer","Santander*","(20,30]","20k","Homemaker","Homeowner",0,14
"Balance Transfer","MBNA Low Rate*","(50,60]","50k","Full time","Private Tenant",0,234
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","50k","Full time","Private Tenant",0,39
"Balance Transfer","Halifax Low Rate*","(50,60]","50k","Full time","Private Tenant",0,40
"Balance Transfer","Post Office*","(50,60]","50k","Full time","Private Tenant",0,177
"Balance Transfer","Santander*","(50,60]","50k","Full time","Private Tenant",0,18
"Balance Transfer","MBNA Low Rate*","(30,40]","20k","Full time","Private Tenant",0,3242
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","20k","Full time","Private Tenant",0.95,252
"Balance Transfer","Halifax Low Rate*","(30,40]","20k","Full time","Private Tenant",0.95,254
"Balance Transfer","Post Office*","(30,40]","20k","Full time","Private Tenant",0,1919
"Balance Transfer","Santander*","(30,40]","20k","Full time","Private Tenant",0,386
"Balance Transfer","MBNA Low Rate*","(60,70]","30k","Self Employed","Homeowner",0,130
"Balance Transfer","Lloyds Platinum Low Rate*","(60,70]","30k","Self Employed","Homeowner",0.95,18
"Balance Transfer","Halifax Low Rate*","(60,70]","30k","Self Employed","Homeowner",0.95,18
"Balance Transfer","Post Office*","(60,70]","30k","Self Employed","Homeowner",0,84
"Balance Transfer","Santander*","(60,70]","30k","Self Employed","Homeowner",0,30
"Balance Transfer","MBNA Low Rate*","(20,30]","10k","Student","Living with Parents",0,280
"Balance Transfer","Lloyds Platinum Low Rate*","(20,30]","10k","Student","Living with Parents",0,39
"Balance Transfer","Halifax Low Rate*","(20,30]","10k","Student","Living with Parents",0,40
"Balance Transfer","Post Office*","(20,30]","10k","Student","Living with Parents",0,139
"Balance Transfer","Santander*","(20,30]","10k","Student","Living with Parents",0,20
"Balance Transfer","MBNA Low Rate*","(30,40]","60k","Full time","Living with Parents",0,56
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","60k","Full time","Living with Parents",0.5,12
"Balance Transfer","Halifax Low Rate*","(30,40]","60k","Full time","Living with Parents",0.5,12
"Balance Transfer","Post Office*","(30,40]","60k","Full time","Living with Parents",0,53
"Balance Transfer","Santander*","(30,40]","60k","Full time","Living with Parents",0,24
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","30k","Full time","Homeowner",0.2,3238
"Balance Transfer","Halifax Low Rate*","(30,40]","30k","Full time","Homeowner",0.2,3306
"Balance Transfer","Post Office*","(30,40]","30k","Full time","Homeowner",0.5,164
"Balance Transfer","Santander*","(30,40]","30k","Full time","Homeowner",0.4,516
"Balance Transfer","MBNA Low Rate*","(40,50]","40k","Full time","Homeowner",0,3004
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","40k","Full time","Homeowner",0.5,513
"Balance Transfer","Halifax Low Rate*","(40,50]","40k","Full time","Homeowner",0.5,530
"Balance Transfer","Post Office*","(40,50]","40k","Full time","Homeowner",0.7,150
"Balance Transfer","Santander*","(40,50]","40k","Full time","Homeowner",0.4,366
"Balance Transfer","MBNA Low Rate*","(30,40]","60k","Full time","Homeowner",0.1,840
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","60k","Full time","Homeowner",0.2,608
"Balance Transfer","Halifax Low Rate*","(30,40]","60k","Full time","Homeowner",0.2,634
"Balance Transfer","Post Office*","(30,40]","60k","Full time","Homeowner",0.4,366
"Balance Transfer","Santander*","(30,40]","60k","Full time","Homeowner",0.5,42
"Balance Transfer","MBNA Low Rate*","(20,30]","30k","Full time","Homeowner",0.8,200
"Balance Transfer","Post Office*","(20,30]","30k","Full time","Homeowner",0,908
"Balance Transfer","Santander*","(20,30]","30k","Full time","Homeowner",0.7,74
"Balance Transfer","MBNA Low Rate*","(40,50]","30k","Self Employed","Homeowner",0.1,708
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","30k","Self Employed","Homeowner",0.95,51
"Balance Transfer","Halifax Low Rate*","(40,50]","30k","Self Employed","Homeowner",0.95,48
"Balance Transfer","Post Office*","(40,50]","30k","Self Employed","Homeowner",0.4,255
"Balance Transfer","Santander*","(40,50]","30k","Self Employed","Homeowner",0.4,68
"Balance Transfer","MBNA Low Rate*","(40,50]","50k","Full time","Private Tenant",0.1,288
"Balance Transfer","Lloyds Platinum Low Rate*","(40,50]","50k","Full time","Private Tenant",0.2,225
"Balance Transfer","Halifax Low Rate*","(40,50]","50k","Full time","Private Tenant",0.2,232
"Balance Transfer","Post Office*","(40,50]","50k","Full time","Private Tenant",0,468
"Balance Transfer","Santander*","(40,50]","50k","Full time","Private Tenant",0.6,30
"Balance Transfer","MBNA Low Rate*","(50,60]","20k","Full time","Private Tenant",0.1,214
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","20k","Full time","Private Tenant",0,225
"Balance Transfer","Halifax Low Rate*","(50,60]","20k","Full time","Private Tenant",0,226
"Balance Transfer","Post Office*","(50,60]","20k","Full time","Private Tenant",0,456
"Balance Transfer","Santander*","(50,60]","20k","Full time","Private Tenant",0.95,172
"Balance Transfer","MBNA Low Rate*","(50,60]","40k","Full time","Private Tenant",0.1,156
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","40k","Full time","Private Tenant",0.2,131
"Balance Transfer","Halifax Low Rate*","(50,60]","40k","Full time","Private Tenant",0.2,136
"Balance Transfer","Post Office*","(50,60]","40k","Full time","Private Tenant",0,283
"Balance Transfer","Santander*","(40,50]","50k","Full time","Private Tenant",0.95,210
"Balance Transfer","MBNA Low Rate*","(50,60]","20k","Full time","Homeowner",0,1768
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","20k","Full time","Homeowner",0,1053
"Balance Transfer","Halifax Low Rate*","(50,60]","20k","Full time","Homeowner",0,1063
"Balance Transfer","Post Office*","(50,60]","20k","Full time","Homeowner",0,952
"Balance Transfer","Santander*","(50,60]","20k","Full time","Homeowner",0,278
"Balance Transfer","MBNA Low Rate*","(30,40]","50k","Self Employed","Homeowner",0,88
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","50k","Self Employed","Homeowner",0,12
"Balance Transfer","Halifax Low Rate*","(30,40]","50k","Self Employed","Homeowner",0,12
"Balance Transfer","Post Office*","(30,40]","50k","Self Employed","Homeowner",0,52
"Balance Transfer","MBNA Low Rate*","(30,40]","50k","Full time","Homeowner",0.1,2170
"Balance Transfer","Lloyds Platinum Low Rate*","(30,40]","50k","Full time","Homeowner",0.2,1474
"Balance Transfer","Halifax Low Rate*","(30,40]","50k","Full time","Homeowner",0.2,1512
"Balance Transfer","Post Office*","(30,40]","50k","Full time","Homeowner",0.4,923
"Balance Transfer","Santander*","(30,40]","50k","Full time","Homeowner",0.4,304
"Balance Transfer","MBNA Low Rate*","(50,60]","100k","Self Employed","Homeowner",0.1,20
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","100k","Self Employed","Homeowner",0.2,15
"Balance Transfer","Halifax Low Rate*","(50,60]","100k","Self Employed","Homeowner",0.2,15
"Balance Transfer","MBNA Low Rate*","(50,60]","40k","Full time","Homeowner",0,1702
"Balance Transfer","Lloyds Platinum Low Rate*","(50,60]","40k","Full time","Homeowner",0.4,98
