"Credit Card Type","Credit Card","Employment Status","Residential Status","Age Range","Income Range (k)","Volume","Likelihood Score"
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,30,3467,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",50,30,2084,0
"Balance Transfer","Santander*","Full time","Homeowner",50,30,486,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,40,4594,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,40,3011,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,40,3088,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,40,1846,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,40,388,0.3
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",20,20,216,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",20,20,24,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",20,20,24,0.95
"Balance Transfer","Post Office*","Full time","Living with Parents",20,20,120,0
"Balance Transfer","Santander*","Full time","Living with Parents",20,20,12,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,20,4262,0
"Balance Transfer","Santander*","Full time","Private Tenant",30,20,1544,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,50,2526,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,50,1841,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,50,1877,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",50,50,1158,0.4
"Balance Transfer","Santander*","Full time","Homeowner",50,50,256,0.3
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,20,542,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,20,307,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,20,313,0.2
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,20,207,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",50,20,28,0.6
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",30,30,4326,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,30,489,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,30,497,0.95
"Balance Transfer","Post Office*","Full time","Private Tenant",30,30,3206,0
"Balance Transfer","Santander*","Full time","Private Tenant",30,30,1864,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",60,30,2778,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,30,1244,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,30,1268,0
"Balance Transfer","Post Office*","Full time","Homeowner",60,30,1313,0
"Balance Transfer","Santander*","Full time","Homeowner",60,30,434,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",30,20,530,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",30,20,542,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,40,418,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,40,426,0.95
"Balance Transfer","Post Office*","Full time","Homeowner",40,40,1578,0
"Balance Transfer","Santander*","Full time","Homeowner",40,40,474,0.9
"Balance Transfer","MBNA Low Rate*","Self Employed","Private Tenant",30,30,22,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Private Tenant",30,30,12,0.4
"Balance Transfer","Halifax Low Rate*","Self Employed","Private Tenant",30,30,12,0.4
"Balance Transfer","Post Office*","Self Employed","Private Tenant",30,30,94,0
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",30,50,112,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,50,12,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,50,12,0.9
"Balance Transfer","Post Office*","Full time","Living with Parents",30,50,119,0
"Balance Transfer","Santander*","Full time","Living with Parents",30,50,60,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,40,1050,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",30,40,175,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",30,40,179,0.5
"Balance Transfer","Post Office*","Full time","Homeowner",30,40,105,0.7
"Balance Transfer","Santander*","Full time","Homeowner",30,40,130,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,30,4342,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,30,1947,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,30,1970,0
"Balance Transfer","Santander*","Full time","Homeowner",50,30,820,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,30,2052,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",30,30,1121,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",30,30,1138,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",30,30,661,0.4
"Balance Transfer","Santander*","Full time","Homeowner",30,30,106,0.5
"Balance Transfer","MBNA Low Rate*","Full time","Council Tenant",50,30,1272,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Council Tenant",50,30,141,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Council Tenant",50,30,145,0.95
"Balance Transfer","Post Office*","Full time","Council Tenant",50,30,772,0
"Balance Transfer","Santander*","Full time","Council Tenant",50,30,276,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",70,20,276,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",70,20,199,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",70,20,202,0
"Balance Transfer","Post Office*","Full time","Homeowner",70,20,150,0
"Balance Transfer","Santander*","Full time","Homeowner",70,20,46,0
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,70,406,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,70,263,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,70,263,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,70,15,0.5
"Balance Transfer","Santander*","Full time","Homeowner",40,70,34,0.2
"Balance Transfer","Santander*","Full time","Homeowner",40,40,502,0.2
"Balance Transfer","Santander*","Full time","Private Tenant",30,30,452,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,40,888,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,40,907,0.2
"Balance Transfer","Santander*","Full time","Private Tenant",40,40,228,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,30,5052,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,30,923,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,30,940,0.5
"Balance Transfer","Post Office*","Full time","Homeowner",40,30,1996,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,30,544,0.9
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,40,631,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,40,655,0.5
"Balance Transfer","Post Office*","Full time","Homeowner",40,40,269,0.7
"Balance Transfer","Santander*","Full time","Homeowner",40,40,904,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,40,3726,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,40,556,0.6
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,40,566,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,30,282,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,30,290,0.4
"Balance Transfer","Santander*","Full time","Private Tenant",40,30,298,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",30,20,5068,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,20,526,0.6
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,20,540,0.6
"Balance Transfer","Post Office*","Full time","Living with Parents",30,20,3414,0
"Balance Transfer","Santander*","Full time","Living with Parents",30,20,230,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Retired","Homeowner",70,20,405,0
"Balance Transfer","MBNA Low Rate*","Retired","Homeowner",70,20,1316,0.1
"Balance Transfer","Halifax Low Rate*","Retired","Homeowner",70,20,408,0
"Balance Transfer","Post Office*","Retired","Homeowner",70,20,311,0
"Balance Transfer","Santander*","Retired","Homeowner",70,20,62,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,20,2034,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,20,227,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,20,230,0.95
"Balance Transfer","Post Office*","Full time","Homeowner",50,20,46,0.5
"Balance Transfer","Santander*","Full time","Homeowner",50,20,182,0.9
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",40,50,108,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",40,50,24,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",40,50,25,0.4
"Balance Transfer","Post Office*","Full time","Living with Parents",40,50,143,0
"Balance Transfer","Santander*","Full time","Living with Parents",40,50,16,0.9
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",60,20,370,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",60,20,275,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",60,20,278,0.2
"Balance Transfer","Post Office*","Self Employed","Homeowner",60,20,223,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",60,20,60,0.6
"Balance Transfer","MBNA Low Rate*","Part time","Council Tenant",30,20,188,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Council Tenant",30,20,88,0
"Balance Transfer","Halifax Low Rate*","Part time","Council Tenant",30,20,88,0
"Balance Transfer","Post Office*","Part time","Council Tenant",30,20,97,0
"Balance Transfer","Santander*","Part time","Council Tenant",30,20,38,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,30,470,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,30,212,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,30,218,0
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,30,246,0
"Balance Transfer","Santander*","Self Employed","Homeowner",50,30,98,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,30,1422,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,30,1253,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,30,1273,0.2
"Balance Transfer","Santander*","Full time","Private Tenant",40,30,224,0.6
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,30,198,0.7
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,30,203,0.7
"Balance Transfer","Post Office*","Full time","Homeowner",50,30,2089,0.4
"Balance Transfer","Santander*","Full time","Homeowner",50,30,696,0.3
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,20,1398,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,20,395,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,20,400,0
"Balance Transfer","Post Office*","Full time","Private Tenant",50,20,886,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,20,212,0
"Balance Transfer","MBNA Low Rate*","Part time","Private Tenant",50,10,208,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Private Tenant",50,10,21,0.95
"Balance Transfer","Halifax Low Rate*","Part time","Private Tenant",50,10,21,0.95
"Balance Transfer","Post Office*","Part time","Private Tenant",50,10,133,0
"Balance Transfer","Santander*","Part time","Private Tenant",50,10,50,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,40,153,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,40,151,0.95
"Balance Transfer","Santander*","Full time","Homeowner",50,30,730,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,30,1247,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,30,1253,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,30,1580,0.95
"Balance Transfer","MBNA Low Rate*","Part time","Homeowner",50,20,942,0
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",50,20,130,0.5
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",50,20,138,0.5
"Balance Transfer","Post Office*","Part time","Homeowner",50,20,594,0
"Balance Transfer","Santander*","Part time","Homeowner",50,20,236,0.95
"Balance Transfer","MBNA Low Rate*","Part time","Council Tenant",40,10,54,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Council Tenant",40,10,45,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Council Tenant",40,10,45,0.2
"Balance Transfer","Post Office*","Part time","Council Tenant",40,10,168,0
"Balance Transfer","MBNA Low Rate*","Homemaker","Homeowner",30,20,40,0
"Balance Transfer","Lloyds Platinum Low Rate*","Homemaker","Homeowner",30,20,21,0.9
"Balance Transfer","Halifax Low Rate*","Homemaker","Homeowner",30,20,21,0.9
"Balance Transfer","Post Office*","Homemaker","Homeowner",30,20,18,0
"Balance Transfer","Santander*","Homemaker","Homeowner",30,20,14,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",60,50,234,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,50,39,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,50,40,0
"Balance Transfer","Post Office*","Full time","Private Tenant",60,50,177,0
"Balance Transfer","Santander*","Full time","Private Tenant",60,50,18,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,20,3242,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,20,252,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,20,254,0.95
"Balance Transfer","Post Office*","Full time","Private Tenant",40,20,1919,0
"Balance Transfer","Santander*","Full time","Private Tenant",40,20,386,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",70,30,130,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",70,30,18,0.95
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",70,30,18,0.95
"Balance Transfer","Post Office*","Self Employed","Homeowner",70,30,84,0
"Balance Transfer","Santander*","Self Employed","Homeowner",70,30,30,0
"Balance Transfer","MBNA Low Rate*","Student","Living with Parents",30,10,280,0
"Balance Transfer","Lloyds Platinum Low Rate*","Student","Living with Parents",30,10,39,0
"Balance Transfer","Halifax Low Rate*","Student","Living with Parents",30,10,40,0
"Balance Transfer","Post Office*","Student","Living with Parents",30,10,139,0
"Balance Transfer","Santander*","Student","Living with Parents",30,10,20,0
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",40,60,56,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",40,60,12,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",40,60,12,0.5
"Balance Transfer","Post Office*","Full time","Living with Parents",40,60,53,0
"Balance Transfer","Santander*","Full time","Living with Parents",40,60,24,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,30,3238,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,30,3306,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,30,164,0.5
"Balance Transfer","Santander*","Full time","Homeowner",40,30,516,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",50,40,3004,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",50,40,513,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",50,40,530,0.5
"Balance Transfer","Post Office*","Full time","Homeowner",50,40,150,0.7
"Balance Transfer","Santander*","Full time","Homeowner",50,40,366,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,60,840,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,60,608,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,60,634,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,60,366,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,60,42,0.5
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,30,200,0.8
"Balance Transfer","Post Office*","Full time","Homeowner",30,30,908,0
"Balance Transfer","Santander*","Full time","Homeowner",30,30,74,0.7
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",50,30,708,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",50,30,51,0.95
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",50,30,48,0.95
"Balance Transfer","Post Office*","Self Employed","Homeowner",50,30,255,0.4
"Balance Transfer","Santander*","Self Employed","Homeowner",50,30,68,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,50,288,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,50,225,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,50,232,0.2
"Balance Transfer","Post Office*","Full time","Private Tenant",50,50,468,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,50,30,0.6
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",60,20,214,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,20,225,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,20,226,0
"Balance Transfer","Post Office*","Full time","Private Tenant",60,20,456,0
"Balance Transfer","Santander*","Full time","Private Tenant",60,20,172,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",60,40,156,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",60,40,131,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",60,40,136,0.2
"Balance Transfer","Post Office*","Full time","Private Tenant",60,40,283,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,50,210,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",60,20,1768,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,20,1053,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,20,1063,0
"Balance Transfer","Post Office*","Full time","Homeowner",60,20,952,0
"Balance Transfer","Santander*","Full time","Homeowner",60,20,278,0
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",40,50,88,0
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",40,50,12,0
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",40,50,12,0
"Balance Transfer","Post Office*","Self Employed","Homeowner",40,50,52,0
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,50,2170,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,50,1474,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,50,1512,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,50,923,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,50,304,0.4
"Balance Transfer","MBNA Low Rate*","Self Employed","Homeowner",60,100,20,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Self Employed","Homeowner",60,100,15,0.2
"Balance Transfer","Halifax Low Rate*","Self Employed","Homeowner",60,100,15,0.2
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",60,40,1702,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",60,40,98,0.4
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",60,40,99,0.4
"Balance Transfer","Post Office*","Full time","Homeowner",60,40,780,0
"Balance Transfer","Santander*","Full time","Homeowner",60,40,282,0.95
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",70,40,452,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",70,40,336,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",70,40,343,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",70,40,163,0.4
"Balance Transfer","Santander*","Full time","Homeowner",70,40,12,0.9
"Balance Transfer","Santander*","Full time","Homeowner",30,30,226,0.6
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",30,30,1908,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",30,30,443,0
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",30,30,451,0
"Balance Transfer","Santander*","Full time","Homeowner",30,30,212,0.4
"Balance Transfer","Lloyds Platinum Low Rate*","Part time","Homeowner",40,30,349,0.2
"Balance Transfer","Halifax Low Rate*","Part time","Homeowner",40,30,346,0.2
"Balance Transfer","Post Office*","Part time","Homeowner",40,30,214,0.4
"Balance Transfer","Santander*","Part time","Homeowner",40,30,66,0.3
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",50,30,2424,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",50,30,662,0
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",50,30,672,0
"Balance Transfer","Post Office*","Full time","Private Tenant",50,30,1476,0
"Balance Transfer","Santander*","Full time","Private Tenant",50,30,326,0
"Balance Transfer","MBNA Low Rate*","Full time","Private Tenant",40,40,2976,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,40,142,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,40,138,0.9
"Balance Transfer","Santander*","Full time","Homeowner",40,30,434,0.8
"Balance Transfer","MBNA Low Rate*","Full time","Homeowner",40,20,1744,0.1
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Homeowner",40,20,991,0.2
"Balance Transfer","Halifax Low Rate*","Full time","Homeowner",40,20,1019,0.2
"Balance Transfer","Post Office*","Full time","Homeowner",40,20,601,0.4
"Balance Transfer","Santander*","Full time","Homeowner",40,20,188,0.4
"Balance Transfer","MBNA Low Rate*","Full time","Living with Parents",30,30,3358,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,30,229,0.9
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,30,233,0.9
"Balance Transfer","Post Office*","Full time","Living with Parents",30,30,2523,0
"Balance Transfer","Santander*","Full time","Living with Parents",30,30,346,0
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Living with Parents",30,20,729,0.95
"Balance Transfer","Halifax Low Rate*","Full time","Living with Parents",30,20,740,0.95
"Balance Transfer","Santander*","Full time","Living with Parents",30,20,1798,0.95
"Balance Transfer","Lloyds Platinum Low Rate*","Full time","Private Tenant",40,30,773,0.5
"Balance Transfer","Halifax Low Rate*","Full time","Private Tenant",40,30,792,0.5
